chapter_code,group_name,source,sheet,category,path,param_name,zh,access,type
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.Antenna.NumOfTxAntenna,NumOfTxAntenna,发射通道数,RW,unsignedInt[1:6]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.Bandwidth,Bandwidth,BWP带宽（下行）,RW,"unsignedInt[5,10,15,20,25,30,40,50,60,80,90,100]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.CyclicPrefix,CyclicPrefix,循环前缀（下行）,RW,string(64)
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.DlBWPId,DlBWPId,下行BWP标识符,RW,unsignedInt[0:4]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.InterleaverSize,InterleaverSize,交织长度,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.RegBundleSize,RegBundleSize,REG绑定大小,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.RegType,RegType,CCE-REG映射类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.ShiftIndex,ShiftIndex,转换索引,RW,"unsignedInt[0:274,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.ControlResourceSetId,ControlResourceSetId,控制资源集ID,RW,unsignedInt[0:11]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.Duration,Duration,符号数,RW,unsignedInt[1:3]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.FrequencyDomainResources,FrequencyDomainResources,控制资源集频域范围,RW,string(45)
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.PdcchDMRSScramblingID,PdcchDMRSScramblingID,PDCCH DMRS加扰ID,RW,"unsignedInt[0:65535,0x0FFFFFFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.PrecoderGranularity,PrecoderGranularity,预编码粒度,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.ControlResourceSetId,ControlResourceSetId,控制资源集ID,RW,unsignedInt[0:11]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.DciFormat00And10En,DciFormat00And10En,公共搜索空间DCI格式开关,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.Duration,Duration,监测时隙数目,RW,"unsignedInt[2:2559,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSlotOffset,MonitoringSlotOffset,监测周期偏置,RW,unsignedInt[0:2559]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSlotPeriodicity,MonitoringSlotPeriodicity,搜索空间周期,RW,"unsignedInt[1,2,4,5,10,16,20,40,80,160,320,640,1280,2560,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSymbolsWithinSlot,MonitoringSymbolsWithinSlot,监测符号位置,RW,unsignedInt[0:16383]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.SearchSpaceId,SearchSpaceId,搜索空间ID,RW,unsignedInt[0:39]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.SearchSpaceType,SearchSpaceType,搜索空间类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.UeSpecificDciFormats,UeSpecificDciFormats,UE专用DCI格式,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel1,AggregationLevel1,聚合等级1,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel16,AggregationLevel16,聚合等级16,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel2,AggregationLevel2,聚合等级2,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel4,AggregationLevel4,聚合等级4,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel8,AggregationLevel8,聚合等级8,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.ControlResourceSetZero,ControlResourceSetZero,CORESET#0,RW,"unsignedInt[0:15,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.PagingSearchSpace,PagingSearchSpace,寻呼搜索空间,RW,"unsignedInt[0:39, 0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.RaSearchSpace,RaSearchSpace,随机接入搜索空间,RW,"unsignedInt[0:39, 0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.SearchSpaceOtherSystemInformation,SearchSpaceOtherSystemInformation,其它SI搜索空间,RW,"unsignedInt[0:39, 0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.SearchSpaceSIB1,SearchSpaceSIB1,SIB1搜索空间,RW,"unsignedInt[0:39,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.SearchSpaceZero,SearchSpaceZero,搜索空间#0,RW,"unsignedInt[0:15,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDSCH.DlAdditionalDmrsPos,DlAdditionalDmrsPos,下行Additional DMRS位置,RW,unsignedInt[0:3]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDSCH.DlDmrsMaxLength,DlDmrsMaxLength,下行DMRS最大符号个数,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDSCH.PDSCHTimeDomainResourceAllocationList.{i}.K0,K0,PDCCH到PDSCH调度延迟,RW,"unsignedInt[0:32,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDSCH.PDSCHTimeDomainResourceAllocationList.{i}.MappingType,MappingType,PDSCH映射类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDSCH.PDSCHTimeDomainResourceAllocationList.{i}.StartSymbolAndLength,StartSymbolAndLength,PDSCH起始符号和长度,RW,unsignedInt[0:127]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.StartPrbPosition,StartPrbPosition,起始PRB位置（下行）,RW,unsignedInt[0:273]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.SubcarrierSpacing,SubcarrierSpacing,BWP子载波间隔（下行）,RW,unsignedInt[0:4]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.Bandwidth,Bandwidth,BWP带宽（上行）,RW,"unsignedInt[5,10,15,20,25,30,40,50,60,80,90,100]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.ConfiguredGrantConfig.PowerControlLoopToUse,PowerControlLoopToUse,PUSCH免授权和SPS时功率调整因子索引,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.CyclicPrefix,CyclicPrefix,循环前缀（上行）,RW,string(64)
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCH.PucchRBNum,PucchRBNum,长格式PUCCH的RB个数,RW,unsignedInt[1:16]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHConfigCommon.HoppingId,HoppingId,PUCCH加扰ID,RW,"unsignedInt[0:1023,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHConfigCommon.P0nominal,P0nominal,PUCCH功率值P0,RW,int[-202:24]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHConfigCommon.PucchGroupHopping,PucchGroupHopping,PUCCH组跳频开关,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHConfigCommon.PucchResourceCommon,PucchResourceCommon,PUCCH公共资源,RW,"unsignedInt[0:15,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.DeltaFPUCCHf0,DeltaFPUCCHf0,PUCCH Format 0功率偏移,RW,int[-16:15]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.DeltaFPUCCHf1,DeltaFPUCCHf1,PUCCH Format 1功率偏移,RW,int[-16:15]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.DeltaFPUCCHf2,DeltaFPUCCHf2,PUCCH Format 2功率偏移,RW,int[-16:15]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.DeltaFPUCCHf3,DeltaFPUCCHf3,PUCCH Format 3功率偏移,RW,int[-16:15]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.DeltaFPUCCHf4,DeltaFPUCCHf4,PUCCH Format 4功率偏移,RW,int[-16:15]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUCCHPowerControl.PucchPcSwitch,PucchPcSwitch,上行PUCCH闭环功控开关,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCH.UlAdditionalDmrsPos,UlAdditionalDmrsPos,上行Additional DMRS位置,RW,unsignedInt[0:3]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCH.UlDmrsMaxLength,UlDmrsMaxLength,上行行DMRS最大符号个数,RW,unsignedInt[1:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCH.UlTimeAlignmentTimer,UlTimeAlignmentTimer,上行时间对齐定时器,RW,string
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHConfigCommon.GroupHoppingEnabledTransformPrecoding,GroupHoppingEnabledTransformPrecoding,序列组跳频开关,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHConfigCommon.Msg3DeltaPreamble,Msg3DeltaPreamble,MSG3与preamble之间发送功率的偏移值,RW,"int[-1:6,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHConfigCommon.P0NominalWithGrant,P0NominalWithGrant,PUSCH功率值P0,RW,"int[-202:24,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHPowerControl.DeltaMCS,DeltaMCS,MCS功率补偿,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHPowerControl.Msg3Alpha,Msg3Alpha,MSG3时的路损补偿因子,RW,string
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHPowerControl.P0NominalWithoutGrant,P0NominalWithoutGrant,免授权或SPS调度时PUSCH小区级的期望接收功率,RW,int[-202:24]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHPowerControl.PuschPcSwitch,PuschPcSwitch,上行PUSCH闭环功控开关,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHPowerControl.TwoPUSCHPCAdjustmentStates,TwoPUSCHPCAdjustmentStates,PUSCH功率调整因子类型,RW,"unsignedInt[1,2]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHTimeDomainAllocationList.{i}.K2,K2,PDCCH到PUSCH调度延迟,RW,"unsignedInt[0:32, 0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHTimeDomainAllocationList.{i}.MappingType,MappingType,PUSCH映射类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.PUSCHTimeDomainAllocationList.{i}.StartSymbolAndLength,StartSymbolAndLength,PUSCH起始符号和长度,RW,unsignedInt[0:127]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.CBPreamblesPerSSB,CBPreamblesPerSSB,SSB对应前导码个数,RW,unsignedInt[0:16]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.MessagePowerOffsetGroupB,MessagePowerOffsetGroupB,Preamble码选择门限值,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.Msg1SubcarrierSpacing,Msg1SubcarrierSpacing,msg1子载波间隔,RW,"unsignedInt[0:4,0x0000000F]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.Msg3TransformPrecoder,Msg3Transform Precoder,Msg3预编码,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.NumberOfRAPreamblesGroupA,NumberOfRAPreamblesGroupA,GroupA中Preamble码个数,RW,unsignedInt[1:64]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RaContentionResolutionTimer,RaContentionResolutionTimer,随机接入竞争窗长,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RaMsg3SizeGroupA,RaMsg3SizeGroupA,Msg3 GroupA大小门限,RW,unsignedInt[0:9]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RestrictedSetConfig,RestrictedSetConfig,限制集配置参数,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RootSequenceIndex,RootSequenceIndex,根序列索引,RW,unsignedInt[0:837]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RootType,RootType,根序列类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPUL.{i}.RACHConfigCommon.RsrpThresholdSSB,RsrpThresholdSSB,随机接入SSB RSRP门限,RW,"unsignedInt[0:127, 0x00000FFF]"
