attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
LTE_REM_SCANNED_RS_TX_POWER,VOLATILE,50,,-60,,,,READ_ONLY,,,,,,S32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.RSTxPower,READ_ONLY,INT,-60,50,,PASSIVE_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_RS_TX_POWER,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_TAC,VOLATILE,65535,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.TAC,READ_ONLY,U_INT,,65535,,PASSIVE_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_TAC,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_CELL_IDENTITY,VOLATILE,268435455,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.CellID,READ_ONLY,U_INT,,268435455,,PASSIVE_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_CELL_IDENTITY,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_CELL_BARRED,VOLATILE,1,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.CellBarred,READ_ONLY,BOOLEAN,,,,PASSIVE_NOTIFICATION,false,FALSE,GROUP_ID_BOOLEAN,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_CELL_BARRED,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_CSG_INDICATOR,VOLATILE,1,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_CSG_ID,VOLATILE,134217727,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_MAX_PLMN_ENTRIES,VOLATILE,6,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.MaxPLMNListEntries,READ_ONLY,U_INT,,,,PASSIVE_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_MAX_PLMN_ENTRIES,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_NUM_OF_PLMN_ENTRIES,VOLATILE,6,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.PLMNListNumberOfEntries,READ_ONLY,U_INT,,,,PASSIVE_NOTIFICATION,false,10,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{15},PARAM_ID_LTE_REM_SCANNED_NUM_OF_PLMN_ENTRIES,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_PLMNID,VOLATILE,6,,5,,,,READ_WRITE,,,,,,STRING,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.PLMNList.{i}.PLMNID,READ_ONLY,STRING,0,6,,PASSIVE_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.LTE_REM_SCANNED_CELL.{5},PARAM_ID_LTE_REM_SCANNED_PLMNID,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
LTE_REM_SCANNED_CELL_RESERVE_FOR_OPERATOR,VOLATILE,1,,0,,,,READ_ONLY,,,,,,U32,,,,,,{},,Device.Services.FAPService.{i}.REM.LTE.Cell.{i}.BCCH.PLMNList.{i}.CellReservedForOperatorUse,READ_ONLY,BOOLEAN,,,,PASSIVE_NOTIFICATION,false,FALSE,GROUP_ID_BOOLEAN,FAP.0.LTE_REM_SCANNED_CELL.{5},PARAM_ID_LTE_REM_SCANNED_CELL_RESERVE_FOR_OPERATOR,,,47,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",LTE_REM_SCANNED_CELL,FAP,0,16,49
NTP_ENABLE,VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
DEFAULT_NTP_SERVER,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_SERVER_1,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_SERVER_2,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_SERVER_3,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_SERVER_4,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_SERVER_5,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,Device.Time.NTPServer5,READ_WRITE,STRING,0,64,,NO_NOTIFICATION,false,0.0.0.0,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_SERVER_5,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
NTP_PORT_1,VOLATILE,4294967295,,0,,,,READ_WRITE,123,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_PORT_2,VOLATILE,4294967295,,0,,,,READ_WRITE,123,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_PORT_3,VOLATILE,4294967295,,0,,,,READ_WRITE,123,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_PORT_4,VOLATILE,4294967295,,0,,,,READ_WRITE,123,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
NTP_CURRENTLOCALTIME,VOLATILE,65535,,0,,,,READ_ONLY, ,,,,,STRING,,,,,,{},,Device.Time.CurrentLocalTime,READ_ONLY,STRING,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_CURRENTLOCALTIME,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
NTP_LOCAL_TIME_ZONE,NON_VOLATILE,128,,0,,,,READ_WRITE,EST+5,,,,,STRING,,,,,,{},,Device.Time.LocalTimeZone,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,EST+5,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_LOCAL_TIME_ZONE,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
NTP_LOCAL_TIME_ZONE_NAME,NON_VOLATILE,256,,0,,,,READ_WRITE,America/Chicago,,,,,STRING,,,,,,{},,Device.Time.LocalTimeZoneName,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_LOCAL_TIME_ZONE_NAME,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
NTP_STATUS,VOLATILE,65535,,0,,,,READ_ONLY,Unsynchronized,,,,,STRING,,,,,,{},,Device.Time.Status,READ_ONLY,STRING,5,25,,NO_NOTIFICATION,false,Disabled,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_STATUS,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
NTP_SYNC_INTERVAL,NON_VOLATILE,86400000,,0,,,,READ_WRITE,600,,,,,U32,,,,,,{},,Device.Time.LTE_X_COM_NTP_SYNC_INTERVAL,READ_WRITE,U_INT,0,86400000,,NO_NOTIFICATION,false,86400000,GROUP_ID_INVALID,FAP.0,PARAM_ID_NTP_SYNC_INTERVAL,,,44,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'OnReboot', 'isList': 'false'}",FAP,,,,49
