attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
FAP_TUNNEL_NUM_VIRTUAL_INTF,NON_VOLATILE,0,,0,,,,READ_ONLY,0,,,,,U32,,,{{numentries}},,,{},{},Device.FAP.Tunnel.VirtualInterfaceNumberOfEntries,READ_ONLY,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_FAP_TUNNEL_NUM_VIRTUAL_INTF,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
FAP_TUNNEL_USE_FOR_CWMP,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,"
            If the SecGW parameters are configured then this parameter determines whether the CWMP traffic will be sent across the IPsec tunnel(s) or outside of the IPsec tunnel(s).
            If {{false}} then the CWMP traffic will be sent outside of the IPsec tunnel(s).
            If {{true}} then the CWMP traffic will be sent across the IPsec tunnel(s).
         ",,,{},{},Device.FAP.Tunnel.UseForCWMP,READ_WRITE,BOOLEAN,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_FAP_TUNNEL_USE_FOR_CWMP,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
FAP_TUNNEL_MAX_CHLD_SA_PER_IKE,NON_VOLATILE,1,,1,,,,READ_ONLY,1,,,,,U32,,,Indicates the maximum number of child SAs per IKE session that the device is capable of supporting.,,,{},{},Device.FAP.Tunnel.MaxChildSAPerIKE,READ_ONLY,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_FAP_TUNNEL_MAX_CHLD_SA_PER_IKE,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
FAP_TUNNEL_MAX_IKE_SESSIONS,NON_VOLATILE,1,,1,,,,READ_ONLY,1,,,,,U32,,,Indicates the maximum number of IKE sessions the device is capable of supporting at any given time.,,,{},{},Device.FAP.Tunnel.MaxIKESessions,READ_ONLY,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_FAP_TUNNEL_MAX_IKE_SESSIONS,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
CRYPTO_PROFILE_ENABLED,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Enables and disables this entry.,,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.Enable,READ_WRITE,BOOLEAN,,,,NO_NOTIFICATION,false,false,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_PROFILE_ENABLED,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_PATH,NON_VOLATILE,256,,1,,,,READ_WRITE,Device.Services.FAPService.1.Transport.Security.Secret.0,,,,,STRING,,,"
            Specifies the Security mechanism and set of credentials used by the device to authenticate itself (either an instance of the ''.Security.Certificate.'' object defined in {{bibref|TR-157a5}} or an instance of the ''.Services.FAPService.{i}.Transport.Security.Secret.'' object defined in {{bibref|TR-196i2}}).
            {{reference}} If the value is an {{empty}}, the device chooses the authentication method based on local policy.
            In order to configure the device for both device and hosting-party authentication, the object is populated with an enabled instance of the ''.Security.Certificate.''. object.",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.AuthMethod,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_PATH,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_MAX_CHILD_SA,NON_VOLATILE,2,,2,,,,READ_WRITE,2,,,,,U32,,,Controls the maximum number of child SAs that can be negotiated by a single IKE session.,,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.MaxChildSA,READ_WRITE,U_INT,10,10,,NO_NOTIFICATION,false,2,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_MAX_CHILD_SA,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_CIPHER_ALGO,NON_VOLATILE,8,,7,,,,READ_WRITE,AES-CBC,,2,,,STRINGARRAY,,,"
            IKEv2 encryption algorithm. {{bibref|RFC4307}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IKEEncrypt,READ_WRITE,STRING,7,8,,NO_NOTIFICATION,false,AES-CBC,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_CIPHER_ALGO,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_PRF,NON_VOLATILE,20,,9,,,,READ_WRITE,HMAC-SHA1,,2,,,STRINGARRAY,,,"
            IKEv2 pseudo-random function. {{bibref|RFC4307}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IKEPRF,READ_WRITE,STRING,9,16,,NO_NOTIFICATION,false,HMAC-SHA1,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_PRF,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_INTG_ALGO,NON_VOLATILE,15,,12,,,,READ_WRITE,HMAC-SHA1-96,,2,,,STRINGARRAY,,,"
            IKEv2 integrity function. {{bibref|RFC4307}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IKEIntegrity,READ_WRITE,STRING,12,15,,NO_NOTIFICATION,false,HMAC-SHA1-96,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_INTG_ALGO,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_DH,NON_VOLATILE,4,,4,,,,READ_WRITE,2048,,2,,,STRINGARRAY,,,"
            IKEv2 pseudo-random function. {{bibref|RFC4307}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IKEDH,READ_WRITE,STRING,4,4,,NO_NOTIFICATION,false,2048,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_DH,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
