attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
REM_SCAN_UARFCN_LIST,VOLATILE,,,,,,,READ_WRITE,,,64,,,STRINGARRAY,,,UARFCN's in the DL direction to measure,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
UARFCN_CONFIG,NON_VOLATILE,1,,0,,,,READ_ONLY,1,,,,,U32,,,Indicates whether FAP supports UARFCN self-configuration,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
UARFCN_SELFCONFIG_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Parameter to enable or disable UARFCN self-configuration from the HMS ONLY,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IPSEC_KEY_MODE,NON_VOLATILE,64,,0,,,,READ_WRITE,PSK,,,,,STRING,IpsecKeyMode,,,,19,,{},Device.IPsec.MyKeyMode,READ_ONLY,STRING,3,5,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_KEY_MODE,true,true,8,,FAP,,,,19
IPSEC_STATUS,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,IpsecStatus,,,,19,,{},Device.IPsec.Status,READ_ONLY,STRING,5,8,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_STATUS,true,true,8,,FAP,,,,19
IPSEC_AH_SUPPORTED,VOLATILE,1,,0,,,,READ_ONLY,1,,,,,U32,,,,,19,,{},Device.IPsec.AHSupported,READ_ONLY,BOOLEAN,,,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_AH_SUPPORTED,true,true,8,,FAP,,,,19
IPSEC_IKEV2_SUPPORTED_ENCRYPTION_ALG,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,,,,,19,,{},Device.IPsec.IKEv2SupportedEncryptionAlgorithms,READ_ONLY,STRING,3,12,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_IKEV2_SUPPORTED_ENCRYPTION_ALG,true,true,8,,FAP,,,,19
IPSEC_ESP_SUPPORTED_ENCRYPTION_ALG,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,,,,,19,,{},Device.IPsec.ESPSupportedEncryptionAlgorithms,READ_ONLY,STRING,3,18,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_ESP_SUPPORTED_ENCRYPTION_ALG,true,true,8,,FAP,,,,19
IPSEC_IKEV2_SUPPORTED_PSEUDORANDOM_FUNC,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,,,,,19,,{},Device.IPsec.IKEv2SupportedPseudoRandomFunctions,READ_ONLY,STRING,8,13,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_IKEV2_SUPPORTED_PSEUDORANDOM_FUNC,true,true,8,,FAP,,,,19
IPSEC_SUPPORTED_INTEGRITY_ALG,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,,,,,19,,{},Device.IPsec.SupportedIntegrityAlgorithms,READ_ONLY,STRING,4,17,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_SUPPORTED_INTEGRITY_ALG,true,true,8,,FAP,,,,19
IPSEC_SUPPORTED_DIFFIE_HELLMAN,VOLATILE,64,,0,,,,READ_ONLY,Disabled,,,,,STRING,,,,,19,,{},Device.IPsec.SupportedDiffieHellmanGroupTransforms,READ_ONLY,STRING,4,19,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_IPSEC_SUPPORTED_DIFFIE_HELLMAN,true,true,8,,FAP,,,,19
IKE_SEND_INTERMEDIATE_CERTS,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Configure IKE for sending of intermediate certificates. This behaviour is only honoured by Interpeak solutions. Other solutions ignore this attribute as they send certificates based upon the CA values received in IKEv2 CERTREQ.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_ENCRYPTION_3DES_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Permit the use of 3DES for IKE encryption.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_ENCRYPTION_AES_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Permit the use of AES for IKE encryption.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_ENCRYPTION_AES128_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Permit the use of AES-128 for IKE encryption; if no encryption algorithms are enabled for IKE then the use of this algorithm will be forced.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
