path,entry_type,access,data_type,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,old_target_group_code,old_candidate_commands,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,matched_candidate_commands,match_source_type,match_source_file,match_reason,doc_category,doc_source_file,doc_source_sheet,doc_source_row
DeviceGSM.OmlRemoteIp,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIP),quicksettings XML 已有同 standardPath 的前端分组,,,,
DeviceGSM.OmlRemoteIpBak,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIPBak),quicksettings XML 已有同 standardPath 的前端分组,,,,
DeviceGSM.TimerNetT3212,parameter,READ_ONLY,U_INT,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.handover,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Cs7Instance.ForAs.Index,parameter,READ_ONLY,U_INT,,,ForAs,DeviceGSM.Cs7Instance.ForAs.,DEVICEGSM_CS7INSTANCE_FORAS,LST FOR_AS,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Cs7Instance.ForAsp.Index,parameter,READ_ONLY,U_INT,,,ForAsp,DeviceGSM.Cs7Instance.ForAsp.,DEVICEGSM_CS7INSTANCE_FORASP,LST FOR_ASP,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Cs7Instance.ForSccpAddr.Index,parameter,READ_ONLY,U_INT,,,ForSccpAddr,DeviceGSM.Cs7Instance.ForSccpAddr.,DEVICEGSM_CS7INSTANCE_FORSCCPADDR,LST FOR_SCCP_ADDR,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_ENB1_IP,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_ENB2_IP,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_IP,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_PORT,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_WCG_S1C_IFNAME,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HALOD.HALOD_WCG_S1U_IFNAME,parameter,READ_WRITE,STRING,,,HALOD,boardconf.HALOD.,BOARDCONF_HALOD,LST HALOD;MOD HALOD,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.FAP.HANRU.LockBand,parameter,READ_WRITE,STRING,,,HANRU,Device.FAP.HANRU.,DEVICE_FAP_HANRU,LST HANRU;MOD HANRU,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.FAP.HANRU.LockCellId,parameter,READ_WRITE,STRING,,,HANRU,Device.FAP.HANRU.,DEVICE_FAP_HANRU,LST HANRU;MOD HANRU,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.FAP.HANRU.LockFrequency,parameter,READ_WRITE,STRING,,,HANRU,Device.FAP.HANRU.,DEVICE_FAP_HANRU,LST HANRU;MOD HANRU,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.FAP.HANRU.LockParam,parameter,READ_WRITE,STRING,,,HANRU,Device.FAP.HANRU.,DEVICE_FAP_HANRU,LST HANRU;MOD HANRU,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.FAP.HANRU.LockParamNettype,parameter,READ_WRITE,STRING,,,HANRU,Device.FAP.HANRU.,DEVICE_FAP_HANRU,LST HANRU;MOD HANRU,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
boardconf.HaloD.baseStationForm,parameter,READ_ONLY,STRING,,,HaloD,boardconf.HaloD.,BOARDCONF_HALOD,LST HALO_D,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.HaltReason.DetailReason,parameter,READ_WRITE,STRING,,,HaltReason,Device.HaltReason.,DEVICE_HALTREASON,LST HALT_REASON;MOD HALT_REASON,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.HaltReason.MainReason,parameter,READ_WRITE,STRING,,,HaltReason,Device.HaltReason.,DEVICE_HALTREASON,LST HALT_REASON;MOD HALT_REASON,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.Https.HttpsEnable,parameter,READ_ONLY,BOOLEAN,,,Https,Device.Https.,DEVICE_HTTPS,LST HTTPS,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.Ethernet.Interface.{i}.IPv4Address.{i},parameter,READ_WRITE,STRING,,,IPv4Address,Device.Ethernet.Interface.{i}.IPv4Address.,DEVICE_ETHERNET_INTERFACE_IPV4ADDRESS,LST IPV4_ADDRESS;MOD IPV4_ADDRESS,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,接口 IPv4 地址,Device.Ethernet.Interface.{i}.IPv4Address.{i}.,DEVICE_ETHERNET_INTERFACE_IPV4ADDRESS,LST INTERFACE_I_PV4_ADDRESS;MOD INTERFACE_I_PV4_ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,同一 target_group_code 已有 already_in_mml 参数，可复用该分组节点,,,,
