strict_mml_tree_match,strict_match_level,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,match_source_type,match_source_file,path_count,sample_paths
no,not_mml_tree_quicksettings_only,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(SsbSubcarrierOffset),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.SSB.SsbSubcarrierOffset
no,not_mml_tree_quicksettings_only,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(ULCarrierBandWidth),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoULSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.CarrierBandwidth
no,not_mml_tree_quicksettings_only,,,小区参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-cell:小区参数(ULSubCarrierSpacing),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.FrequencyInfoULSIB.ScsSpecificCarrierList.{i}.SCSSpecificCarrier.SubcarrierSpacing
no,not_mml_tree_quicksettings_only,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(AmfIP1),1,Device.Services.FAPService.{i}.FAPControl.NR.AMFPoolConfigParam.{i}.AmfIP1
no,not_mml_tree_quicksettings_only,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(NrcellIdentity),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.NrcellIdentity
no,not_mml_tree_quicksettings_only,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(PLMNID),1,Device.Services.FAPService.{i}.CellConfig.{i}.NR.CN.TA.{i}.PLMNList.{i}.PLMNID
no,not_mml_tree_quicksettings_only,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(gNBId),1,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBId
no,not_mml_tree_quicksettings_only,,,核心网参数,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BaiBNQ.xml#gnb-core:核心网参数(gNBIdLength),1,Device.Services.FAPService.{i}.FAPControl.NR.RAN.Common.gNBIdLength
no,not_mml_tree_quicksettings_only,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACStubVal),1,Device.Services.GsmBTSCellDT.{i}.GsmMACStubVal
no,not_mml_tree_quicksettings_only,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTraceMsgType),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTraceMsgType
no,not_mml_tree_quicksettings_only,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTraceNum),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTraceNum
no,not_mml_tree_quicksettings_only,,,跟踪日志,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BM.xml#gsm-trace:跟踪日志(GsmMACTtiSwitch),1,Device.Services.GsmBTSCellDT.{i}.GsmMACTtiSwitch
