record_type,command_code,standard_path,base_mml_code,access_type,source_candidate,resolve_method,skipped_reason
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_ONBOOTENB,ROUTE_CONFIG6_ONBOOTENB,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_ONBOOTENB,ROUTE_CONFIG6_ONBOOTENB,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_GW,ROUTE_CONFIG6_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_GW,ROUTE_CONFIG6_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_NETADDR,ROUTE_CONFIG6_V6_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_NETADDR,ROUTE_CONFIG6_V6_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_ONBOOT,ROUTE_CONFIG6_V6_ONBOOT,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_ONBOOT,ROUTE_CONFIG6_V6_ONBOOT,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_PREFIX,ROUTE_CONFIG6_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG6_V6_PREFIX,ROUTE_CONFIG6_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_GW,ROUTE_CONFIG7_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_GW,ROUTE_CONFIG7_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_NETADDR,ROUTE_CONFIG7_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_NETADDR,ROUTE_CONFIG7_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_NETMASK,ROUTE_CONFIG7_NETMASK,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_NETMASK,ROUTE_CONFIG7_NETMASK,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_ONBOOTENB,ROUTE_CONFIG7_ONBOOTENB,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_ONBOOTENB,ROUTE_CONFIG7_ONBOOTENB,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_GW,ROUTE_CONFIG7_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_GW,ROUTE_CONFIG7_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_NETADDR,ROUTE_CONFIG7_V6_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_NETADDR,ROUTE_CONFIG7_V6_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_ONBOOT,ROUTE_CONFIG7_V6_ONBOOT,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_ONBOOT,ROUTE_CONFIG7_V6_ONBOOT,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_PREFIX,ROUTE_CONFIG7_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG7_V6_PREFIX,ROUTE_CONFIG7_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_GW,ROUTE_CONFIG8_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_GW,ROUTE_CONFIG8_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_NETADDR,ROUTE_CONFIG8_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_NETADDR,ROUTE_CONFIG8_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_NETMASK,ROUTE_CONFIG8_NETMASK,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_NETMASK,ROUTE_CONFIG8_NETMASK,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_ONBOOTENB,ROUTE_CONFIG8_ONBOOTENB,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_ONBOOTENB,ROUTE_CONFIG8_ONBOOTENB,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_GW,ROUTE_CONFIG8_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_GW,ROUTE_CONFIG8_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_NETADDR,ROUTE_CONFIG8_V6_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_NETADDR,ROUTE_CONFIG8_V6_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_ONBOOT,ROUTE_CONFIG8_V6_ONBOOT,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_ONBOOT,ROUTE_CONFIG8_V6_ONBOOT,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_PREFIX,ROUTE_CONFIG8_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG8_V6_PREFIX,ROUTE_CONFIG8_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
