path_group,missing_count,sample_paths
boardconf.HALOD,6,boardconf.HALOD.HALOD_ENB1_IP; boardconf.HALOD.HALOD_ENB2_IP; boardconf.HALOD.HALOD_IP; boardconf.HALOD.HALOD_PORT; boardconf.HALOD.HALOD_WCG_S1C_IFNAME; boardconf.HALOD.HALOD_WCG_S1U_IFNAME
Device.IP,4,Device.IP.Interface.{i}.IPv4Address.{i}.AddressingType; Device.IP.Interface.{i}.IPv4Address.{i}.DefaultGateway; Device.IP.Interface.{i}.IPv4Address.{i}.IPAddress; Device.IP.Interface.{i}.IPv4Address.{i}.SubnetMask
DeviceGSM.Mgw,4,DeviceGSM.Mgw.{i}.MgwEndpointDomain; DeviceGSM.Mgw.{i}.MgwLocalPort; DeviceGSM.Mgw.{i}.MgwRemoteIp; DeviceGSM.Mgw.{i}.MgwRemotePort
Device.HaltReason,2,Device.HaltReason.DetailReason; Device.HaltReason.MainReason
Device.Nr,2,Device.Nr.Ipsec.NgapIpsecBindInterface; Device.Nr.Ipsec.NguIpsecBindInterface
InternetGatewayDevice.Time,2,InternetGatewayDevice.Time.NTPServer3; InternetGatewayDevice.Time.NTPServer5
Device.Ethernet,1,Device.Ethernet.DefaultIpRoute.DefaultInterfaceName
Device.Https,1,Device.Https.HttpsEnable
Device.WebConfig,1,Device.WebConfig.WanVisitEnable
DeviceGSM.BscSelect,1,DeviceGSM.BscSelect
DeviceGSM.BtsNum,1,DeviceGSM.BtsNum
DeviceGSM.Encryption,1,DeviceGSM.Encryption
DeviceGSM.HandoverAlgorithm,1,DeviceGSM.HandoverAlgorithm
DeviceGSM.Hodec2CongestionCheck,1,DeviceGSM.Hodec2CongestionCheck
DeviceGSM.IpaUnitId,1,DeviceGSM.IpaUnitId
DeviceGSM.Mcc,1,DeviceGSM.Mcc
DeviceGSM.Mnc,1,DeviceGSM.Mnc
DeviceGSM.NriBitLen,1,DeviceGSM.NriBitLen
DeviceGSM.NriNullAdd,1,DeviceGSM.NriNullAdd
DeviceGSM.NriNullDel,1,DeviceGSM.NriNullDel
DeviceGSM.OmlRemoteIp,1,DeviceGSM.OmlRemoteIp
DeviceGSM.OmlRemoteIpBak,1,DeviceGSM.OmlRemoteIpBak
DeviceGSM.TimerNetT3212,1,DeviceGSM.TimerNetT3212
DeviceGSM.handover,1,DeviceGSM.handover
boardconf.HaloD,1,boardconf.HaloD.baseStationForm
